ip_address,device_type,country,login_speed_seconds,transfer_amount,data_downloaded_mb,is_threat
172.16.0.22,Desktop,Canada,13.6,231.73,13.62,0
10.0.0.5,Mobile,Niger,17.0,113.24,15.05,0
192.168.1.10,Tablet,UK,10.0,152.28,7.52,0
192.168.1.10,Tablet,USA,10.7,107.04,25.07,0
192.168.1.10,Mobile,USA,14.3,207.56,19.66,0
192.168.1.15,Mobile,UK,14.7,86.83,18.74,0
172.16.0.22,Mobile,India,13.2,101.7,17.35,0
10.0.0.5,Desktop,UK,14.8,207.57,15.11,0
172.16.0.22,Mobile,USA,14.4,168.22,13.29,0
192.168.1.10,Tablet,Canada,6.4,154.58,11.77,0
10.0.0.5,Tablet,India,11.6,84.66,6.38,0
192.168.1.15,Mobile,UK,16.6,111.32,13.65,0
192.168.1.15,Desktop,India,14.3,177.32,17.19,0
192.168.1.10,Desktop,Niger,7.0,111.64,9.47,0
192.168.1.10,Desktop,UK,13.6,133.0,17.48,0
10.0.0.5,Desktop,Canada,10.7,117.83,4.61,0
192.168.1.10,Tablet,India,10.2,142.4,10.37,0
192.168.1.10,Tablet,Niger,8.4,167.84,14.14,0
192.168.1.10,Tablet,USA,7.7,142.84,16.78,0
192.168.1.10,Desktop,India,10.1,128.4,9.9,0
10.0.0.5,Desktop,India,20.9,131.52,16.82,0
10.0.0.5,Desktop,Niger,18.8,152.73,12.79,0
192.168.1.15,Tablet,Kenya,5.7,224.95,12.58,0
192.168.1.10,Tablet,Kenya,12.9,179.71,18.72,0
10.0.0.5,Mobile,Canada,8.5,155.82,12.17,0
172.16.0.22,Desktop,USA,13.1,130.7,10.73,0
10.0.0.5,Mobile,Niger,16.9,126.51,7.54,0
10.0.0.5,Desktop,Niger,11.7,173.73,23.09,0
192.168.1.10,Mobile,Niger,12.7,30.43,12.37,0
192.168.1.10,Mobile,USA,5.0,148.6,17.93,0
192.168.1.10,Tablet,Kenya,10.7,133.5,17.63,0
172.16.0.22,Desktop,UK,13.9,101.72,20.86,0
192.168.1.10,Desktop,Kenya,12.2,168.4,6.25,0
192.168.1.10,Mobile,Canada,13.7,120.98,8.07,0
172.16.0.22,Tablet,Niger,16.9,130.56,24.79,0
10.0.0.5,Mobile,UK,12.2,144.83,4.36,0
10.0.0.5,Tablet,Kenya,12.1,193.26,21.59,0
192.168.1.15,Tablet,Kenya,19.9,257.86,15.79,0
192.168.1.15,Desktop,USA,9.2,96.32,19.5,0
192.168.1.10,Mobile,Canada,9.9,110.04,10.51,0
192.168.1.10,Mobile,USA,16.9,211.03,14.55,0
192.168.1.10,Mobile,Kenya,15.5,126.78,22.57,0
192.168.1.10,Desktop,USA,10.2,271.02,11.55,0
172.16.0.22,Tablet,India,13.2,119.69,9.55,0
172.16.0.22,Mobile,USA,13.0,88.28,16.24,0
10.0.0.5,Mobile,UK,15.5,125.27,5.41,0
10.0.0.5,Desktop,Niger,12.5,229.04,11.39,0
192.168.1.10,Desktop,Kenya,12.9,112.52,14.13,0
192.168.1.15,Desktop,India,12.8,218.75,23.19,0
192.168.1.10,Mobile,Niger,14.4,142.75,12.29,0
192.168.1.10,Desktop,USA,8.5,170.42,12.79,0
172.16.0.22,Mobile,Canada,10.2,130.91,12.52,0
172.16.0.22,Desktop,Canada,8.9,206.73,14.39,0
192.168.1.15,Desktop,Kenya,10.2,93.69,10.73,0
172.16.0.22,Tablet,Canada,14.3,142.41,15.06,0
172.16.0.22,Desktop,USA,13.7,141.16,14.39,0
172.16.0.22,Mobile,Canada,11.7,180.65,13.57,0
172.16.0.22,Mobile,Kenya,9.1,189.62,26.17,0
192.168.1.10,Desktop,Canada,8.5,277.84,15.92,0
192.168.1.10,Desktop,UK,11.9,117.23,19.04,0
172.16.0.22,Mobile,USA,14.7,91.11,25.03,0
192.168.1.15,Tablet,India,15.0,166.29,16.93,0
10.0.0.5,Tablet,India,9.6,197.83,18.35,0
10.0.0.5,Mobile,USA,8.1,117.14,8.01,0
192.168.1.10,Tablet,India,10.2,78.63,16.98,0
192.168.1.15,Tablet,Canada,12.3,248.82,20.25,0
172.16.0.22,Mobile,UK,12.7,175.87,19.44,0
192.168.1.15,Mobile,USA,8.2,106.4,17.15,0
192.168.1.15,Desktop,UK,13.4,162.91,14.06,0
192.168.1.10,Desktop,India,6.9,172.7,8.8,0
10.0.0.5,Desktop,USA,10.3,87.21,13.86,0
192.168.1.10,Tablet,Canada,15.0,135.78,20.39,0
172.16.0.22,Desktop,Kenya,10.5,139.65,21.65,0
10.0.0.5,Mobile,USA,8.7,94.71,16.76,0
192.168.1.15,Tablet,Canada,14.1,144.53,14.28,0
192.168.1.15,Desktop,UK,12.0,112.44,13.38,0
10.0.0.5,Tablet,Niger,12.2,92.95,5.31,0
172.16.0.22,Mobile,Canada,12.5,134.67,12.15,0
192.168.1.15,Mobile,Kenya,8.8,196.44,11.61,0
192.168.1.15,Mobile,India,13.2,204.75,12.55,0
192.168.1.10,Desktop,Canada,11.0,202.82,13.54,0
10.0.0.5,Tablet,Niger,11.4,163.94,5.91,0
192.168.1.10,Mobile,Niger,16.3,117.85,18.61,0
192.168.1.15,Mobile,India,11.8,192.67,8.39,0
172.16.0.22,Mobile,UK,11.1,188.76,9.2,0
192.168.1.10,Tablet,India,9.1,189.21,11.1,0
10.0.0.5,Tablet,India,16.1,125.47,13.45,0
192.168.1.10,Desktop,USA,10.8,175.59,12.36,0
192.168.1.15,Desktop,UK,12.1,56.19,14.71,0
172.16.0.22,Tablet,UK,12.1,158.35,26.93,0
192.168.1.15,Desktop,Canada,9.5,150.65,15.79,0
10.0.0.5,Mobile,Niger,11.7,135.09,13.2,0
192.168.1.10,Mobile,India,11.8,230.66,15.22,0
172.16.0.22,Tablet,Canada,14.0,137.4,22.32,0
192.168.1.10,Desktop,Niger,16.9,193.66,17.49,0
172.16.0.22,Desktop,UK,15.6,177.75,16.53,0
192.168.1.15,Mobile,Kenya,12.5,86.35,24.17,0
192.168.1.15,Desktop,Niger,7.1,118.59,21.44,0
10.0.0.5,Mobile,USA,11.6,212.6,11.84,0
10.0.0.5,Mobile,India,13.1,127.31,4.83,0
192.168.1.15,Desktop,Niger,15.4,117.96,9.51,0
192.168.1.15,Desktop,Niger,15.4,105.07,15.8,0
192.168.1.15,Tablet,UK,10.2,153.56,16.16,0
192.168.1.15,Desktop,USA,14.5,146.24,7.2,0
10.0.0.5,Desktop,Kenya,9.7,193.51,18.55,0
10.0.0.5,Tablet,India,16.4,84.24,9.29,0
192.168.1.15,Desktop,USA,12.3,153.9,15.78,0
192.168.1.15,Tablet,UK,6.6,199.49,10.64,0
10.0.0.5,Mobile,UK,6.3,86.22,12.61,0
192.168.1.10,Mobile,USA,7.4,171.7,17.55,0
192.168.1.15,Mobile,India,19.4,204.1,11.4,0
172.16.0.22,Mobile,Kenya,11.8,183.35,12.99,0
172.16.0.22,Mobile,USA,14.2,163.17,17.03,0
192.168.1.10,Mobile,UK,8.9,157.98,19.75,0
172.16.0.22,Desktop,Kenya,14.6,169.46,16.73,0
10.0.0.5,Desktop,Canada,5.0,304.28,11.01,0
10.0.0.5,Desktop,Niger,12.2,173.3,22.39,0
192.168.1.10,Desktop,Kenya,12.2,115.68,14.98,0
10.0.0.5,Mobile,Niger,15.7,125.76,13.3,0
172.16.0.22,Tablet,Canada,10.0,152.54,17.1,0
10.0.0.5,Mobile,India,8.9,161.38,24.08,0
192.168.1.10,Tablet,Kenya,16.4,178.48,17.13,0
192.168.1.10,Tablet,Niger,14.5,170.95,21.58,0
192.168.1.10,Tablet,India,10.1,148.4,21.21,0
172.16.0.22,Desktop,Canada,10.2,111.97,18.08,0
192.168.1.15,Mobile,USA,9.0,90.0,19.5,0
192.168.1.10,Desktop,USA,16.6,155.57,18.8,0
192.168.1.10,Tablet,Niger,13.3,129.89,16.0,0
10.0.0.5,Mobile,Kenya,12.4,152.52,20.04,0
10.0.0.5,Desktop,Niger,5.0,214.72,24.43,0
172.16.0.22,Mobile,Canada,11.8,214.09,11.03,0
192.168.1.10,Mobile,Niger,11.1,106.73,15.88,0
172.16.0.22,Mobile,Kenya,9.0,93.53,18.96,0
192.168.1.10,Tablet,Kenya,10.2,97.53,13.14,0
192.168.1.10,Desktop,Kenya,8.4,186.65,12.58,0
192.168.1.15,Mobile,UK,10.9,113.92,16.36,0
192.168.1.10,Desktop,USA,12.8,168.68,10.3,0
10.0.0.5,Desktop,Kenya,13.9,66.67,14.24,0
192.168.1.10,Desktop,USA,11.6,196.65,14.58,0
192.168.1.15,Tablet,Niger,19.8,81.81,12.85,0
10.0.0.5,Mobile,Kenya,13.2,81.87,14.96,0
172.16.0.22,Desktop,Canada,12.9,148.17,17.73,0
192.168.1.10,Desktop,Niger,11.5,90.58,12.13,0
172.16.0.22,Desktop,USA,13.9,278.51,17.27,0
192.168.1.10,Tablet,Kenya,6.2,141.86,16.56,0
172.16.0.22,Tablet,India,8.9,192.52,14.23,0
192.168.1.10,Mobile,Canada,9.4,107.52,18.77,0
10.0.0.5,Mobile,India,12.0,130.53,19.08,0
10.0.0.5,Desktop,India,9.3,138.14,17.49,0
172.16.0.22,Desktop,Niger,14.0,159.24,14.73,0
192.168.1.10,Tablet,Niger,14.5,74.34,15.03,0
172.16.0.22,Desktop,USA,9.6,119.44,13.25,0
192.168.1.10,Mobile,UK,12.5,191.51,21.2,0
192.168.1.10,Desktop,UK,11.2,126.96,8.69,0
192.168.1.15,Desktop,Kenya,14.6,226.78,11.68,0
172.16.0.22,Mobile,Niger,7.6,146.7,19.31,0
10.0.0.5,Desktop,Kenya,13.1,163.9,15.77,0
10.0.0.5,Desktop,Kenya,7.2,159.45,16.32,0
192.168.1.10,Mobile,UK,13.1,87.64,11.83,0
45.22.19.51,Desktop,China,1.8,111.51,20.07,1
192.168.1.10,Mobile,USA,13.3,224.64,17.86,0
172.16.0.22,Desktop,Niger,14.9,90.08,15.69,0
10.0.0.5,Tablet,Niger,21.0,150.81,8.71,0
192.168.1.15,Mobile,Niger,8.6,103.61,15.5,0
192.168.1.10,Desktop,UK,10.3,91.58,21.84,0
10.0.0.5,Desktop,USA,11.2,206.87,13.22,0
10.0.0.5,Tablet,India,12.5,130.28,13.59,0
172.16.0.22,Mobile,Kenya,13.6,162.6,8.8,0
192.168.1.10,Tablet,Kenya,11.3,215.5,18.21,0
172.16.0.22,Desktop,India,16.8,199.92,13.44,0
192.168.1.10,Tablet,Kenya,11.1,101.81,21.2,0
10.0.0.5,Desktop,USA,13.7,119.28,19.13,0
10.0.0.5,Mobile,India,6.8,201.96,17.28,0
192.168.1.10,Mobile,Canada,12.6,155.07,17.76,0
192.168.1.15,Desktop,Kenya,16.9,185.29,15.17,0
10.0.0.5,Tablet,Kenya,15.0,111.89,17.49,0
192.168.1.10,Tablet,Niger,8.3,185.73,14.18,0
192.168.1.10,Desktop,UK,8.8,197.77,23.33,0
10.0.0.5,Mobile,USA,13.4,259.85,1.43,0
192.168.1.15,Mobile,Canada,12.5,164.36,14.46,0
192.168.1.10,Desktop,USA,11.5,196.43,14.48,0
192.168.1.15,Desktop,UK,12.5,179.0,16.87,0
10.0.0.5,Desktop,USA,9.6,80.22,9.69,0
192.168.1.15,Desktop,Kenya,17.2,191.04,18.81,0
192.168.1.15,Mobile,Kenya,10.4,156.62,18.44,0
172.16.0.22,Tablet,Kenya,11.6,109.83,12.55,0
192.168.1.15,Mobile,Kenya,13.4,144.26,14.22,0
10.0.0.5,Desktop,Niger,9.3,14.13,18.39,0
10.0.0.5,Tablet,USA,13.2,183.41,20.34,0
172.16.0.22,Desktop,Canada,9.3,218.94,16.43,0
192.168.1.10,Tablet,India,13.2,19.53,16.66,0
192.168.1.10,Tablet,Niger,9.0,157.27,24.3,0
192.168.1.15,Mobile,UK,12.6,168.86,17.54,0
192.168.1.15,Desktop,UK,15.9,126.67,2.07,0
172.16.0.22,Tablet,India,11.0,193.73,12.07,0
172.16.0.22,Mobile,Kenya,16.2,147.36,16.34,0
192.168.1.15,Desktop,UK,13.3,173.87,23.25,0
192.168.1.15,Tablet,UK,14.1,191.74,18.46,0
10.0.0.5,Mobile,India,15.8,124.8,19.35,0
10.0.0.5,Mobile,UK,11.2,70.51,17.27,0
10.0.0.5,Mobile,USA,10.6,287.97,13.54,0
192.168.1.10,Tablet,Kenya,11.9,148.75,16.21,0
192.168.1.15,Desktop,USA,11.5,218.31,7.76,0
192.168.1.10,Mobile,India,11.6,114.73,14.22,0
10.0.0.5,Desktop,India,12.2,153.92,20.89,0
172.16.0.22,Desktop,UK,15.4,250.44,13.04,0
172.16.0.22,Tablet,Niger,15.0,144.43,16.4,0
192.168.1.10,Tablet,UK,11.7,173.51,13.24,0
10.0.0.5,Desktop,UK,6.4,188.35,16.13,0
192.168.1.15,Desktop,India,11.0,80.03,8.15,0
192.168.1.15,Mobile,Kenya,12.4,142.02,10.55,0
10.0.0.5,Desktop,Canada,12.5,178.06,12.56,0
172.16.0.22,Mobile,Kenya,12.2,222.65,15.01,0
10.0.0.5,Tablet,Kenya,9.8,122.28,7.43,0
10.0.0.5,Tablet,USA,9.4,48.14,7.83,0
10.0.0.5,Tablet,Kenya,13.3,162.31,21.67,0
10.0.0.5,Desktop,Niger,12.6,91.33,9.62,0
192.168.1.15,Tablet,UK,9.5,114.11,14.89,0
172.16.0.22,Desktop,UK,10.7,133.34,22.13,0
192.168.1.10,Desktop,Canada,11.9,197.18,17.78,0
172.16.0.22,Mobile,UK,9.3,196.87,20.51,0
192.168.1.10,Tablet,USA,15.5,133.0,13.07,0
172.16.0.22,Tablet,India,16.0,177.94,12.43,0
192.168.1.15,Desktop,Niger,9.2,156.35,9.46,0
172.16.0.22,Mobile,USA,17.1,240.71,19.46,0
192.168.1.10,Mobile,India,12.4,138.76,16.7,0
192.168.1.10,Mobile,USA,12.0,152.58,20.25,0
192.168.1.15,Tablet,USA,11.3,110.56,5.58,0
10.0.0.5,Mobile,UK,12.9,92.44,15.86,0
10.0.0.5,Desktop,India,12.7,118.64,14.43,0
172.16.0.22,Mobile,Kenya,7.7,162.11,10.3,0
10.0.0.5,Tablet,Niger,8.5,178.31,21.29,0
192.168.1.15,Mobile,India,7.9,100.2,11.77,0
10.0.0.5,Desktop,Kenya,11.4,190.97,13.01,0
192.168.1.10,Tablet,UK,17.3,190.95,9.63,0
172.16.0.22,Tablet,India,7.4,161.73,18.67,0
192.168.1.10,Mobile,UK,13.5,157.93,15.53,0
192.168.1.15,Mobile,UK,13.4,185.68,9.9,0
192.168.1.15,Mobile,Canada,11.5,201.0,10.89,0
172.16.0.22,Desktop,USA,14.8,182.19,9.03,0
192.168.1.15,Tablet,Kenya,9.2,129.14,19.36,0
10.0.0.5,Tablet,Canada,12.0,105.28,17.68,0
192.168.1.15,Tablet,India,9.8,105.84,16.25,0
192.168.1.10,Tablet,Canada,13.5,142.3,16.22,0
10.0.0.5,Desktop,USA,14.9,128.49,21.6,0
192.168.1.10,Desktop,Canada,18.9,96.66,14.61,0
10.0.0.5,Mobile,India,10.9,140.25,17.41,0
192.168.1.10,Tablet,Kenya,17.6,116.0,20.08,0
10.0.0.5,Mobile,Canada,9.6,129.88,21.99,0
192.168.1.10,Mobile,Niger,10.4,93.8,13.33,0
10.0.0.5,Tablet,USA,9.7,180.19,11.47,0
192.168.1.10,Mobile,India,16.7,234.87,14.63,0
192.168.1.10,Tablet,Kenya,5.0,149.99,19.11,0
192.168.1.10,Desktop,UK,15.0,155.7,14.72,0
192.168.1.10,Desktop,UK,12.7,145.83,20.55,0
10.0.0.5,Mobile,USA,13.0,138.21,24.65,0
192.168.1.15,Mobile,Kenya,10.2,73.56,20.53,0
192.168.1.15,Mobile,Kenya,10.7,76.07,1.35,0
10.0.0.5,Mobile,Niger,8.9,172.95,16.99,0
10.0.0.5,Tablet,Kenya,11.1,200.56,20.25,0
192.168.1.10,Mobile,Niger,10.8,112.75,21.97,0
192.168.1.10,Desktop,Kenya,14.0,141.52,21.66,0
172.16.0.22,Mobile,Canada,12.8,197.58,15.37,0
10.0.0.5,Desktop,USA,10.7,147.29,21.14,0
192.168.1.10,Tablet,India,11.8,79.07,13.0,0
10.0.0.5,Mobile,UK,14.3,222.83,17.38,0
192.168.1.10,Mobile,India,11.8,179.27,11.55,0
10.0.0.5,Mobile,Kenya,17.3,70.3,23.94,0
192.168.1.10,Mobile,Kenya,7.9,77.01,14.62,0
192.168.1.10,Desktop,India,12.0,114.54,5.24,0
172.16.0.22,Desktop,India,10.5,89.0,10.3,0
172.16.0.22,Desktop,Canada,9.8,185.57,15.11,0
172.16.0.22,Mobile,India,9.3,105.7,15.19,0
192.168.1.10,Desktop,USA,8.3,99.95,3.49,0
172.16.0.22,Desktop,UK,16.4,177.41,2.42,0
10.0.0.5,Desktop,India,6.6,211.81,9.16,0
192.168.1.15,Desktop,UK,15.5,142.47,15.89,0
192.168.1.10,Tablet,Canada,11.8,179.0,6.59,0
192.168.1.10,Desktop,India,10.1,162.92,13.23,0
172.16.0.22,Mobile,India,8.8,187.28,27.49,0
192.168.1.10,Mobile,Canada,15.3,168.74,14.97,0
192.168.1.10,Mobile,Niger,9.2,183.63,15.38,0
10.0.0.5,Tablet,Canada,9.3,189.84,14.64,0
172.16.0.22,Desktop,Niger,13.4,161.97,16.54,0
192.168.1.15,Mobile,USA,11.8,141.61,10.39,0
10.0.0.5,Tablet,Canada,13.9,112.99,23.08,0
192.168.1.10,Mobile,USA,9.8,71.73,14.09,0
172.16.0.22,Tablet,Canada,14.5,149.82,26.0,0
192.168.1.10,Tablet,Niger,9.8,197.42,13.7,0
192.168.1.15,Mobile,Kenya,10.7,192.56,21.46,0
192.168.1.15,Desktop,UK,14.4,151.72,12.14,0
192.168.1.15,Tablet,UK,6.8,170.33,12.44,0
192.168.1.10,Tablet,India,5.2,144.0,16.9,0
172.16.0.22,Desktop,India,11.3,81.06,21.0,0
172.16.0.22,Desktop,Canada,9.8,133.92,3.22,0
172.16.0.22,Desktop,Niger,11.3,144.26,17.17,0
10.0.0.5,Desktop,UK,14.2,185.94,14.97,0
172.16.0.22,Mobile,UK,10.2,120.76,20.63,0
172.16.0.22,Mobile,UK,5.9,53.43,15.7,0
10.0.0.5,Desktop,UK,11.5,190.9,19.28,0
172.16.0.22,Desktop,India,15.4,197.16,18.07,0
172.16.0.22,Tablet,Niger,10.1,170.92,11.5,0
192.168.1.15,Desktop,USA,8.6,148.67,15.42,0
10.0.0.5,Mobile,India,10.3,194.26,17.72,0
192.168.1.15,Mobile,Canada,17.8,132.63,16.3,0
45.22.19.62,Mobile,Pakistan,2.1,264.24,17.23,1
192.168.1.10,Tablet,Kenya,12.9,180.12,15.69,0
192.168.1.15,Mobile,Niger,18.0,154.37,15.24,0
10.0.0.5,Desktop,Kenya,9.3,115.65,17.23,0
10.0.0.5,Mobile,Canada,7.6,184.71,26.37,0
10.0.0.5,Desktop,USA,16.7,148.55,13.34,0
192.168.1.15,Tablet,Canada,5.0,118.23,14.55,0
192.168.1.15,Mobile,Canada,10.5,112.42,16.87,0
192.168.1.15,Mobile,Canada,16.2,182.22,15.88,0
172.16.0.22,Mobile,USA,14.9,179.57,11.79,0
172.16.0.22,Mobile,India,9.4,76.93,12.69,0
172.16.0.22,Desktop,Niger,11.7,107.01,22.38,0
192.168.1.15,Mobile,Niger,8.4,122.04,17.15,0
192.168.1.10,Desktop,Niger,9.7,222.14,8.18,0
10.0.0.5,Mobile,USA,8.7,104.76,15.34,0
172.16.0.22,Mobile,India,16.6,150.03,10.22,0
192.168.1.15,Mobile,India,8.7,138.69,12.03,0
10.0.0.5,Tablet,UK,11.2,130.21,23.88,0
192.168.1.10,Tablet,India,12.9,137.52,9.87,0
172.16.0.22,Desktop,USA,8.4,230.06,17.97,0
172.16.0.22,Desktop,Niger,8.5,183.46,9.41,0
192.168.1.10,Desktop,USA,15.5,165.19,9.65,0
192.168.1.10,Mobile,Kenya,10.1,101.52,9.62,0
192.168.1.10,Tablet,Canada,8.3,180.24,21.1,0
10.0.0.5,Desktop,India,12.0,199.0,11.98,0
192.168.1.10,Mobile,India,9.6,178.93,20.92,0
192.168.1.15,Desktop,Niger,15.2,114.81,18.2,0
172.16.0.22,Tablet,Kenya,11.6,143.82,12.96,0
10.0.0.5,Tablet,Niger,9.6,118.92,21.94,0
172.16.0.22,Tablet,Niger,10.9,252.24,9.93,0
172.16.0.22,Tablet,Kenya,8.0,179.27,8.94,0
192.168.1.15,Tablet,Niger,14.0,157.19,19.28,0
10.0.0.5,Desktop,Canada,8.0,53.52,21.17,0
172.16.0.22,Desktop,USA,8.1,176.6,18.99,0
192.168.1.15,Tablet,Niger,10.7,177.48,11.5,0
172.16.0.22,Tablet,Kenya,11.9,190.2,8.53,0
192.168.1.15,Tablet,UK,9.4,271.19,12.32,0
192.168.1.10,Desktop,India,5.0,218.79,11.35,0
192.168.1.15,Mobile,UK,13.8,159.78,11.12,0
192.168.1.15,Mobile,Canada,15.1,144.76,10.0,0
